title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
Blanes Esquina Müller (Blanes St and Müller);2022;TV-PG;15 min;['Drama', 'International', 'Kids & Family'];July 1, 2022;;Jorge is visited by his future self who travelled back in time to prevent his girlfriend from leaving him and proposes a plan to avoid it. Starring Hugo Piccinini, Laura Tipoldi, and David Roizner Selanikio. Written and directed by Nicolás Botana.
Catch a Fire;2006;PG-13;101 min;['Drama'];July 1, 2022;6.5/10;This is the true story of an innocent man accused of a crime during South Africa's apartheid rule. Patrick Chamusso was a foreman in a South African oil refinery when a massive explosion points to signs of terrorism in the 1980s apartheid era. With an alibi he was unwilling to give, Patrick – and later his family – was tortured and jailed for information on the bombing.
Godzilla;1998;PG-13;139 min;['Action', 'Fantasy & Sci-Fi', 'Horror'];July 1, 2022;5.2/10;Leaving a trail of capsized ships and demolished cities, a monstrous reptile known as Godzilla makes his way towards New York City. Seemingly impervious to traditional weaponry, Godzilla will destroy Manhattan unless scientist Dr. Nick Tatopolous and mysterious French insurance investigator Philippe Roache discover how to stop the monster's rampage.
Hollow Man;2000;R;113 min;['Action', 'Drama', 'Fantasy & Sci-Fi'];July 1, 2022;5.9/10;Scientist Sebastian Caine (Kevin Bacon) makes an incredible discovery – invisibility – in this update of 'The Invisible Man.' Fading from view, Sebastian achieves the impossible. But the thrill is short-lived when his co-workers are unable to make him visible. Stuck in the prison of his discovery, Sebastian begins to come unraveled, descending on a downward spiral into madness.
Hot Shots!;1991;PG-13;85 min;['Action', 'Comedy', 'Kids & Family'];July 1, 2022;6.8/10;Daring flyboys take to the wild blue yonder to make the skies safe for democracy – and to shoot down lots of time-honored movie cliches – in this parody. Charlie Sheen plays a Navy top gun once booted out of the service for insubordination but now back in the cockpit to lead his squadron on a secret mission – and to romance beautiful military psychiatrist Valeria Golino.
Hot Shots! Part Deux;1993;PG-13;89 min;['Action', 'Comedy', 'Kids & Family'];July 1, 2022;6.5/10;Freelance commando Topper Harley (Charlie Sheen) roars back into action in this comedy sequel that's 'more energetic, innovative and entertaining than the original film' ('New York Post'). Pumped up to Rambo-esque proportions, he heads for the Middle East to rescue American hostages from the evil clutches of Saddam Hussein.
How to Screw It All Up (Cómo mandarlo todo a la mierda);2022;TV-MA;1 Season;['Comedy', 'Drama', 'International'];July 1, 2022;;When her school’s year-end trip to Italy is canceled, Alba’s dream of escaping her troubled life – and the shady dealings her brother is always roping her into – seems next to impossible. But after discovering that some of her classmates are secretly planning an epic road trip, Alba does everything she can to secure a spot in their van. Guided by only three rules – no posting to social media, always stay together, and let fate decide their destination – the teenagers hit the road for a wild adventure, discovering more about themselves, one another, and the joys (and consequences) of freedom with every mile.
I Spy;2002;PG-13;97 min;['Action', 'Comedy', 'Kids & Family'];July 1, 2022;5.6/10;A professional boxer must help a U.S. government agent recover a missing spy plane before it falls into the hands of terrorists.
Indecent Proposal;1993;R;117 min;['Drama', 'Romance'];July 1, 2022;5.8/10;They're young, madly in love...and broke. Faced with the loss of everything they've worked for, how will a couple answer a rich man's offer of a cool million bucks for one night with the wife? That's the choice facing Demi Moore and Woody Harrelson in this glossy romantic drama. Robert Redford plays the suave millionaire who could solve all their financial problems.
Last Night in Soho;2021;R;117 min;['Drama', 'Horror', 'International'];July 1, 2022;7.2/10;Movie.
Little Miss Sunshine;2006;R;103 min;['Action', 'Comedy', 'Drama'];July 1, 2022;7.9/10;Described by Roger Ebert as a 'gentle family satire and a classic American road movie,' this 2006 Oscar(R)-winner for Best Original Screenplay and Best Supporting Actor (Alan Arkin) chronicles the mishap-filled 700-mile journey – in a junky VW van – of one dysfunctional family. Their goal: to realize an optimistic little girl's dream of participating in a beauty pageant.
Lone Survivor;2013;R;121 min;['Action', 'Drama', 'Suspense'];July 1, 2022;7.6/10;It was called Operation Red Wings: a directive to take out Taliban insurgents in a remote region of Afghanistan. When the four-man Navy SEALs recon team is compromised, the men find themselves under a relentless assault. Based on a real-life story, this 'scorching, often unbearably brutal' film spotlights the bravery, loyalty and sheer guts of some of America's finest soldiers.
Lord of War;2005;R;122 min;['Action', 'Crime', 'Drama'];July 1, 2022;7.7/10;This stylish dark satire chronicles the rise of a Ukrainian immigrant who runs guns in Brooklyn and eventually becomes a fabulously wealthy international arms dealer while being pursued by a persistent INTERPOL agent. Nicolas Cage, Jared Leto, Bridget Moynahan, Ian Holm, and Ethan Hawke star. Written and directed by Andrew Niccol.
Mrs. Brown, You've Got a Lovely Daughter;1968;G;95 min;['Comedy', 'Music'];July 1, 2022;4.7/10;Produced by Beatles associate Allan Klein, this tuneful comedy stars UK chart toppers Herman's Hermits and is based on their 1965 hit of the same name. Herman inherits a greyhound and decides to make his fortune by racing the dog. After traveling from Manchester to London in the hope of entering a national invitational, Herman and his friends find work as a pop group, and Herman falls in love.
Mrs. Winterbourne;1996;PG-13;106 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;6.4/10;This fast-paced comedy follows the story of eighteen-year-old Connie Doyle, an expectant mother with no money and an uncertain future. In a screwball case of mistaken identity, a grieving Mrs. Winterbourne takes the girl to live with her in the stately Winterbourne mansion, believing she is the wife of her deceased son.
One for the Money;2012;PG-13;91 min;['Action', 'Comedy', 'Crime'];July 1, 2022;5.4/10;An unemployed lingerie saleswoman takes a job as a bounty hunter and is assigned to track down a wanted ex-cop – a former high school flame who broke her heart. Starring Katherine Heigl, Jason O'Mara, Daniel Sunjata, John Leguizamo, Sherri Shepherd, and Debbie Reynolds.
Overboard;1987;PG;112 min;['Comedy', 'Kids & Family', 'Romance'];July 1, 2022;6.8/10;She's rich and rude, he's cute but crude...this must be love! You'll fall for the comic complications when Goldie Hawn, a wealthy amnesiac, is duped into playing house with blue-collar Kurt Russell and his four unruly sons. As revenge for an unpaid bill, Kurt claims Goldie as his missing wife, and her struggles with his home-sweet-hovel are 14-karat comedy gold.
Pawn Sacrifice;2015;PG-13;115 min;['Drama'];July 1, 2022;6.9/10;Tobey Maguire stars as chess legend Bobby Fischer in this story of his electrifying charge to the top of the chess world that culminated in his epic Cold War match against Russia's Boris Spassky in 1972. Co-starring Peter Sarsgaard, Liev Schreiber, Michael Stuhlbarg, Lily Rabe, and Robin Weigert.
Postcards from the Edge;1990;R;102 min;['Comedy', 'Drama', 'Music'];July 1, 2022;6.5/10;Hollywood actress Suzanne Vale is on a slippery slope as a recovering addict. On exit from rehab, it is recommended she stay with her mother, who has become a somewhat champion drinker herself. Suzanne struggles to maintain her sobriety and her sanity in the company of Doris.
Rio 2;2014;G;101 min;['Action', 'Comedy', 'Kids & Family'];July 1, 2022;6.5/10;Blue macaw mates Blu and Jewel go in search of their rain-forest roots on a wild Amazonian adventure in this fun-filled animated sequel. Once in the jungle, the couple and their brood discover a huge pack of wild macaws – led by Jewel's long-lost father – and join them in a battle to save their beautiful habitat from the saws of a devious logging crew.
Safe (2012);2012;R;95 min;['Action', 'Crime', 'Drama'];July 1, 2022;;An ex-cage fighter puts his bone-crunching skills to use against Chinese gangs, the Russian mob, and corrupt NYC cops while trying to protect a young math whiz who has memorized a valuable safe combination. Starring Jason Statham, Catherine Chan, Robert John Burke, James Hong, Anson Mount, and Chris Sarandon. Written and directed by Boaz Yakin.
She's Having a Baby;1988;PG-13;106 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;6.0/10;John Hughes ('The Breakfast Club') directed this “engaging domestic comedy” (Newsday) about a young couple facing the joys and trials of marriage. Kevin Bacon stars as a reluctant husband who'd like to stay a kid forever. Elizabeth McGovern plays his wife. Written and directed by John Hughes.
Sleepless in Seattle;1993;PG;105 min;['Comedy', 'Drama', 'Kids & Family'];July 1, 2022;6.9/10;On her way to her engagement, Annie Reed hears a young boy on the radio wishing that his father would find a new wife. Unable to forget the story of Sam and his son, something begins to happen to Annie, something she's not really aware of, something like...magic.
Snow Day;2000;PG;89 min;['Comedy'];July 1, 2022;5.3/10;"Kids in upstate New York have a wild day of fun, pranks and misadventures thanks to a sudden, school-canceling blizzard in this ""laugh-out-loud"" (Chicago Tribune) family film."
Spy Kids 2: Island of Lost Dreams;2002;PG;100 min;['Action', 'Kids & Family', 'Latino'];July 1, 2022;5.3/10;Exploring their further adventures, Carmen and Juni Cortez have joined the family spy business as Level 2 OSS agents. Their new mission is to save the world from a mad scientist living on a volcanic island populated by an imaginative menagerie of creatures. On this bizarre island, none of the Cortez's gadgets work and they must rely on their wits and each other to survive and save the day.
Spy Kids 3: Game Over;2003;PG;83 min;['Action', 'Fantasy & Sci-Fi', 'Kids & Family'];July 1, 2022;4.5/10;Carmen is kidnapped by an evil Toymaker and imprisoned inside a virtual reality game. It's up to Juni to venture into the game and save his sister from the villain's clutches.
Suite Française;2014;TV-14;107 min;['Drama', 'International', 'Romance'];July 1, 2022;;"A married woman in Nazi-occupied France finds herself falling for a German soldier in this drama. Starring Michelle Williams, Matthias Schoenaerts, Kristin Scott Thomas, Sam Riley, Ruth Wilson, Lambert Wilson, and Margot Robbie. Directed by Saul Dibb; screenplay by Saul Dibb and Matt Charman, based on the novel by Irène Némirovsky."
That Awkward Moment;2014;R;94 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;6.2/10;Three commitment-phobic bros vow to stay single and avoid serious relationships at all costs, but can they stick to their pact in the face of so much sexy temptation?
The Bachelor and the Bobby-Soxer;1947;TV-G;95 min;['Comedy', 'Romance'];July 1, 2022;7.1/10;Playboy artist Dick Nugent appears before Judge Margaret Turner after a barroom brawl, but when the judge learns that her teenaged sister, Susan, is love struck over the older artist, she sentences Nugent to romance her sister until the infatuation is over. Now, as Susan pretends to be more sophisticated than her age and Nugent tries to behave like a hip teenager, Judge Turner realizes that she's the one who loves the charming bachelor.
The Con is On;2018;R;95 min;['Comedy', 'Crime'];July 1, 2022;3.7/10;"A pair of con artists hatch a jewel theft in order to pay off a gambling debt in this crime comedy. Uma Thurman, Tim Roth, Sofia Vergara, Alice Eve, and Maggie Q star. Directed by James Oakley; screenplay by Alex Michaelides, James Oakley."
The Great American Pastime;1956;TV-G;89 min;['Comedy', 'Sports'];July 1, 2022;5.4/10;In an effort to spend more time with his son, Bruce Hallerton becomes a little league baseball coach, much to the dismay of his wife. Now, if he can survive the kids, he still has to face the parents, the most difficult of whom may be Mrs. Doris Patterson. After a few games of baseball, Hallerton is begging to return to the liars, cheats and backstabbers with whom he deals as an attorney!
The Heat;2013;R;117 min;['Action', 'Comedy', 'Crime'];July 1, 2022;6.4/10;Sandra Bullock is a straight-laced FBI agent who is forced to partner with foul-mouthed Boston cop Melissa McCarthy in this raucous comedy hit. With only the mutual mission of putting away a sadistic drug dealer connecting them, this pair of opposites attract nothing but gut-busting laughs in this riotous film that turns the 'buddy cop' genre on its ear.
The Impossible;2012;PG-13;114 min;['Drama', 'International', 'Kids & Family'];July 1, 2022;7.6/10;The true story of one family's fight for survival after a devastating tsunami strikes Thailand in 2004.
The Legend of Zorro;2005;PG;130 min;['Action', 'Kids & Family', 'Latino'];July 1, 2022;5.8/10;Several years after the previous adventure, Alejandro and Elena are married and have a 10-year-old son, Joaquin. Though Alejandro continues to don the mask of Zorro to protect the poor and oppressed from their overlords' greed, he is torn between his duty and his desire for a more normal life. Now, he must face that conflict again when plans for California to become the 31st state are undermined by a nefarious plot by a group of prominent land barons. In his valiant attempt to foil their plans, Zorro runs headlong into a crisis that threatens his life and the safety of his family.
The Other Woman;2014;PG-13;109 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;6.2/10;Carly, Kate and Amber all have one thing in common: Kate's cheating husband Mark! Cameron Diaz, Leslie Mann and Kate Upton star as the trio of jilted and very angry females who team up to exact revenge on the philandering cad (Nikolaj Coster-Waldau) using any means necessary – including laxatives, hair remover and even estrogen! Don Johnson and Taylor Kinney co-star.
The Plot Thickens;2020;TV-MA;3 Seasons;['Documentaries'];July 1, 2022;;The Plot Thickens is the award-winning documentary podcast from Turner Classic Movies, focusing on the movies and the people who made them.
The Raid 2;2014;R;150 min;['Action', 'Crime', 'Drama'];July 1, 2022;8.0/10;Immediately after the events of The Raid, Rama is forced to reinvent himself as an undercover cop in order to provide protection for his wife and child. Working for the anti-corruption taskforce led by the one person he can trust, Bunawar, he is given a mission to engage himself as an enforcer for a local mob boss, Bangun. Finding a way in through Bangun's son Uco, Rama must hunt for information linking Bangun with police force corruption. All the while, he harbors a dangerous and personal vendetta for revenge and justice that threatens to consume him - and bring both this mission and the organized crime syndicates crashing down.
The Satanic Rites of Dracula;1973;R;88 min;['Drama', 'Horror'];July 1, 2022;5.7/10;Count Dracula is undead and well and living in London. And he is creating a plague to unleash on the world - unless Scotland Yard can stop him.
This Is Elvis;1981;PG;102 min;['Documentaries', 'Drama', 'Kids & Family'];July 1, 2022;7.4/10;He never played to an unsold seat. Better known by his given name than anyone else, his voice has been heard by more people than any other performer's. His motion pictures became box office triumphs on the strength of his name alone. His raw talent, which sprang from America's Southern backwoods, changed the course of popular music and culture. On the day Elvis Presley died - August 17, 1977 - there was pandemonium outside his Memphis home and around the world. He was only 42, and to millions he was magic. Now producer David L. Wolper uses his camera to probe the mystique of a superstar in This Is Elvis.
Universal Soldier: Day of Reckoning;2012;R;113 min;['Action', 'Fantasy & Sci-Fi'];July 1, 2022;5.2/10;John wakes up from a coma to discover his wife and daughter were slaughtered in a brutal home invasion. Haunted by images of the attack, he vows to kill the man responsible, Luc Deveraux. While John tries to piece his reality back together, things get more complicated when he is pursued by a relentless UniSol. As John gets closer to Deveraux and the rogue army of genetically enhanced warriors led by back-from-the-dead leader Andrew Scott, John discovers more about himself and begins to call into question everything he believed to be true.
Warrior;2011;PG-13;140 min;['Action', 'Drama', 'Kids & Family'];July 1, 2022;8.2/10;Two estranged brothers find themselves on a collision course when they both enter a winner-takes-all mixed martial arts tournament.
What's Eating Gilbert Grape;1993;PG-13;118 min;['Drama', 'Kids & Family'];July 1, 2022;;Family love is at the center of this quiet charmer. Johnny Depp plays Gilbert, who's had to put his own dreams on hold to take care of his obese mother, two sisters and mentally challenged brother. But how long does he have to wait before his life can start? Leonardo DiCaprio was nominated for a 1993 Best Supporting Actor Oscar(R) for his performance as Gilbert's brother.
Julia;2021;NR;95 min;['Documentaries', 'Drama', 'Kids & Family'];June 30, 2022;7.7/10;Julia brings to life the legendary cookbook author and television superstar who changed the way Americans think about food, television, and even about women. Using never-before-seen archival footage, personal photos, first-person narratives, and cutting-edge, mouth-watering food cinematography, the film traces Julia Child's 12 year struggle to create and publish the revolutionary Mastering the Art of French Cooking (1961) which has sold more than 2.5 million copies to date, and her rapid ascent to become the country's most unlikely television star. It's the empowering story of a woman who found her purpose – and her fame – at 50, and took America along on the whole delicious journey.
Naked Mole Rat Gets Dressed: The Underground Rock Experience;2022;TV-Y;55 min;['Kids & Family'];June 30, 2022;;Transforming Mo Willems’ best-selling picture book into an animated musical special, Naked Mole Rat Gets Dressed: The Underground Rock Experience follows a colony of very Naked Mole Rats, who are shocked when one of their own begins to wear clothing. After Wilbur J. Mole Rat, Jr. discovers how fun it is to express himself through clothes, the rest of the panicked Naked Mole Rats, who dig being 100% naked 500% of the time, hope that the most powerful and most naked Naked Mole Rat, Grand-Mah, doesn’t find out. Featuring an all-star cast, hilariously awesome tunes, and crisp animation, this hourlong special is for any-mole who dares to stand out, embraces differences in others (and themselves), and loves to rock!
PCC, Secret Power (PCC, Poder Secreto);2022;TV-MA;1 Season;['Documentaries', 'International', 'Latino'];June 30, 2022;;Since its founding in São Paulo, Brazil, the Primeiro Comando da Capital, better known as the PCC, has become the country’s largest criminal organization. After a massacre at Carandiru Penitentiary left more than 100 prisoners dead, four inmates at Taubaté Penitentiary formed the organization in 1993 with the intention of fighting oppression within the prison system. But the faction soon became a source of violence and drug trafficking with an impenetrable cross-border presence in Latin America. Featuring interviews with former PCC members, prosecutors, and citizens, the four-part docuseries reveals the secrets behind the cartel’s power and its lingering presence today.
The Bridge;2021;TV-14;2 Seasons;['International', 'Kids & Family', 'Reality'];June 30, 2022;7.2/10;Twelve strangers from across the United States, UK, and Ireland set out for a cabin nestled deep within the British wilderness with no knowledge of what they’ll be doing – just that £100,000 is at stake. Narrated by James McAvoy, this reality competition series places a massive cash prize in the middle of a lake – but to reach the money, contestants must construct an 850-foot bridge with their bare hands and limited supplies. Given only 20 days to complete this gargantuan task, the competitors must figure out how to work together, though only one can take home the prize. Wild and unpredictable, The Bridge is an adrenaline-packed, physically grueling adventure filled with mind games and power plays.
Endangered;2022;TV-MA;89 min;['Documentaries'];June 29, 2022;6.0/10;Directed by Oscar®-nominees Rachel Grady and Heidi Ewing (Jesus Camp), this documentary follows four journalists over the course of a year as they live and work in democratic countries where freedom of the press is under attack – in Mexico, Brazil, and the United States.
Westworld;2016;TV-MA;4 Seasons;['Action', 'Drama', 'Fantasy & Sci-Fi'];June 27, 2022;8.5/10;In this series set in a futuristic Wild West fantasy park, a group of android 'hosts' deviate from their programmers' carefully planned scripts in a disturbing pattern of aberrant behavior. With an exceptional cast headed by Anthony Hopkins, Ed Harris, Evan Rachel Wood, James Marsden, Thandie Newton and Jeffrey Wright, 'Westworld' was inspired by Michael Crichton's 1973 film.
Blue Bayou;2021;R;117 min;['Drama'];June 24, 2022;6.9/10;A moving and timely story of a uniquely American family fighting for their future, this drama follows a Korean adoptee from the Louisiana bayou who suddenly faces deportation – and the loss of his family – from the only country he has ever called home. Starring Justin Chon, Alicia Vikander, Mark O'Brien, Linh-Dan Pham, and Emory Cohen. Written and directed by Justin Chon.
Rich & Shameless;2022;TV-MA;1 Season;['Crime'];June 24, 2022;;Fame. Power. Success. Money can bring it all. And drain it all away. From TNT and Raw (“Three Identical Strangers” and “Don’t F**k with Cats”), comes “Rich & Shameless,” a seven-part series of premium films that tell the true stories of the successes, failures, thrills, and miseries that accompany the kind of wealth that few people can ever understand. Using a combination of powerful interviews, unique archive and atmospheric visuals, “Rich & Shameless” goes behind the public façade to reveal the dangers of great prosperity.
Tuca & Bertie;2021;TV-14;1 Season;['Comedy'];June 24, 2022;7.4/10;The animated series is a comedy about bird besties who live in the same apartment building: Tuca, a cocky, care-free toucan, Bertie, an anxious, daydreaming song thrush, and Bertie’s boyfriend, Speckle, a jovial, optimistic robin.
Chernobyl: The Lost Tapes;2022;TV-MA;96 min;['Documentaries'];June 23, 2022;8.0/10;​A revealing account of the 1986 Chernobyl nuclear disaster and Ukraine's resilience told through newly discovered archival footage.
Gordita Chronicles;2022;TV-PG;1 Season;['Kids & Family', 'Latino'];June 23, 2022;6.2/10;The year is 1985 and Cucu “Gordita” Castelli has just said goodbye to all of her friends and family in Santo Domingo and moved to Miami with her marketing executive father Víctor, bold and vivacious mother Adela and suddenly reputation-crazy older sister Emilia. But while life in America is far from what they originally imagined, the Castellis are determined to take charge of their strange new world, with the outgoing Cucu challenging the immigrant experience with humor and bravado and only a few questionable choices along the way. A uniquely funny coming-of-age series, Gordita Chronicles is about family, opportunity, love, resilience, and boldly defying the status quo in pursuit of the “American Dream.”
Menudo: Forever Young;2022;TV-14;1 Season;['Documentaries', 'Latino', 'Music'];June 23, 2022;;Throughout the 1980s and ‘90s, the Puerto Rican boy band Menudo took the globe by storm, launching numerous careers and influencing international youth culture, music, and fandom. But Menudo’s decades-long success came at the cost of innocence as the group’s mastermind Edgardo Díaz regularly replaced performers to keep the band forever young. This fascinating four-part docuseries chronicles the never-before-heard story behind the rise and fall of the most iconic Puerto Rican boy band in history – including the alleged backstage culture of greed, abuse, and mayhem as told by some of Menudo’s former members.
Wellington Paranormal;2018;TV-14;3 Seasons;['Comedy', 'Fantasy & Sci-Fi', 'Horror'];June 23, 2022;7.7/10;Two Kiwi cops battle ghosts and monsters in our capital city. New Zealand’s capital is a hotbed of supernatural activity so Sergeant Ruawai Maaka decides to set up the first Paranormal Unit of the Wellington Police. He calls on Officers Minogue and O’Leary to take to the streets to investigate all manner of paranormal phenomena.
Mind Over Murder;2022;TV-MA;;['Crime', 'Documentaries'];June 21, 2022;;Chronicles the bizarre and psychologically complex story of six individuals who were convicted for the 1985 murder of a beloved 68- year-old grandmother, Helen Wilson, in Beatrice, Nebraska.
Birdgirl;2021;TV-MA;2 Seasons;['Action', 'Comedy'];June 20, 2022;5.4/10;In this Harvey Birdman spin-off Judy Ken Sebben aka Birdgirl assembles a misfit crime-fighting squad called Birdteam. Their quest: undo all the dangerous decisions of the generation before and contain the havoc of their own world-saving products gone bad.
Tom and Jerry Cowboy Up!;2022;TV-G;75 min;['Comedy', 'Kids & Family'];June 19, 2022;5.3/10;The Wild, Wild West just got wilder with Tom and Jerry on the ranch! This time, the rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber, and they're going to need some help!
Las Mejores Familias (The Best Families);2022;TV-14;99 min;['Comedy', 'International', 'Kids & Family'];June 18, 2022;;Two housekeepers working for upper-class families find themselves in the middle of a family drama when a long-held secret is revealed at a birthday celebration. Starring Tatiana Astengo, Gabriela Velásquez, Gracia Olayo, and Grapa Paola. Written and directed by Javier Fuentes-León.
Non-Stop;2014;PG-13;106 min;['Action', 'International', 'Kids & Family'];June 17, 2022;7.0/10;A non-stop flight takes a terrifying turn for federal air marshal Liam Neeson: an anonymous text from a maniac promises a passenger death every 20 minutes if $150 million isn't transferred into a bank account. Once the bodies begin piling up, it's thrusters at full speed as Neeson desperately tries to identify the killer...while also proving it's not him! With Julianne Moore.
Turner Classic Movies: Follow the Thread;2022;TV-PG;1 Season;['Documentaries'];June 17, 2022;;Turner Classic Movies presents Follow the Thread, a series hosted by TCM’s Alicia Malone and joined by special guests from the worlds of fashion and film. Inspired by The Met’s Exhibition, In America: An Anthology of Fashion.
Father of the Bride;2022;PG-13;118 min;['Comedy', 'Kids & Family', 'Latino'];June 16, 2022;;Billy and Ingrid are surprised when their eldest daughter Sofia announces a new fiancé, Adan, and plans for a quick wedding. The news keeps Billy and Ingrid from announcing that they’re planning to divorce...but they hold off for the benefit of the family. Billy’s initial opposition to the wedding cools, so long as his opinions carry the most weight. Soon, Adan’s headstrong father arrives with his own traditions and family pride in tow. With the fathers vying to control the festivities, it becomes a game of one-upmanship - cultures clash, generations take sides and competing traditions collide. All relationships are tested as the roller coaster ride of wedding planning races toward the altar.
The Dog House: UK;2020;TV-14;3 Seasons;['International', 'Kids & Family', 'Reality'];June 16, 2022;8.3/10;"Finding forever homes for rejected dogs isn't easy - but that's exactly what the staff of Wood Green do every day. Set inside a rural British animal rescue center known for its commitment to matching homeless dogs with eager owners, The Dog House: UK captures the joy and complexity of the human-dog ""dating"" experience. Each episode introduces tearful tales of abandoned dogs, while also touching on relatable backstories of families, couples, and singletons all hoping their lives will be changed by a new four-legged friend. As this heartwarming unscripted series shows, it's up to the center's dedicated staff to match pet with potential new owner - and to arrange an all-important first date that will determine if the adorable pups and hopeful humans have that fated connection."
La Unidad;2020;TV-MA;2 Seasons;['Drama', 'International', 'Latino'];June 15, 2022;7.4/10;The capture in Spain of the most wanted terrorist leader in the world turns to country into the main target for terrorism. A countdown has started without the population knowing and the members of the Special Unit against jihadist terrorism, led by commissioner Carla Torres (Nathalie Poza), face the secret mission of stopping it in a race against time, while they try to resolve the conflicts of the personal lives that their job has, in part, stolen from them.
Naomi;2022;TV-PG;1 Season;['Action', 'Drama', 'Fantasy & Sci-Fi'];June 10, 2022;4.6/10;Naomi follows a teen girl's journey from her small northwestern town to the heights of the Multiverse. When a supernatural event shakes her hometown to the core, Naomi sets out to uncover its origins, and what she discovers will challenge everything we believe about our heroes.
The Card Counter;2021;R;112 min;['Action', 'Crime', 'Drama'];June 10, 2022;6.2/10;Redemption is the long game in this revenge thriller that tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his past decisions. Starring Oscar Isaac, Tiffany Haddish, Tye Sheridan, and Willem Dafoe. Written and directed by Paul Schrader, the legendary writer of Taxi Driver.
