title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
The Sea Beast;2022;Older Kids;119 min;'Children & Family Movies';July 8, 2022;7.2;When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters — and make history to boot.;netflix;'Children & Family Movies', Older Kids, When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters — and make history to boot.
The Flash;2021;Teens;"
                    New Season Added:";'Crime TV Shows', 'TV Action & Adventure', 'TV Sci-Fi & Fantasy';July 7, 2022;7.6;A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.;netflix;'Crime TV Shows', 'TV Action & Adventure', 'TV Sci-Fi & Fantasy', Teens, A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
The Road;2015;Teens;95 min;'Dramas', 'Independent Movies', 'International Movies';July 7, 2022;7.2;Tired of Beirut's constant transformation, a young married couple takes a nostalgic road trip to Lebanon's untouched mountains and deserted villages.;netflix;'Dramas', 'Independent Movies', 'International Movies', Teens, Tired of Beirut's constant transformation, a young married couple takes a nostalgic road trip to Lebanon's untouched mountains and deserted villages.
Tottaa Pataaka Item Maal;2018;Adults;107 min;'Dramas', 'Independent Movies', 'International Movies';July 7, 2022;7.7;Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi.;netflix;'Dramas', 'Independent Movies', 'International Movies', Adults, Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi.
Trapped;2021;Teens;77 min;'Dramas', 'Independent Movies', 'International Movies';July 7, 2022;7.5;Against the backdrop of the 2011 Egyptian Revolution, several stories of confined women attempting to escape become intertwined. Inspired by real events.;netflix;'Dramas', 'Independent Movies', 'International Movies', Teens, Against the backdrop of the 2011 Egyptian Revolution, several stories of confined women attempting to escape become intertwined. Inspired by real events.
Girl in the Picture;2022;Adults;103 min;'Documentaries';July 6, 2022;7.5;In this documentary, a woman found dying by a road leaves behind a son, a man claiming to be her husband — and a mystery that unfolds like a nightmare.;netflix;'Documentaries', Adults, In this documentary, a woman found dying by a road leaves behind a son, a man claiming to be her husband — and a mystery that unfolds like a nightmare.
Oh My Baby;2020;Teens;1 Season;'International TV Shows', 'Romantic TV Shows', 'TV Comedies';July 3, 2022;7.3;On the brink of 40 and single, a magazine editor aims to bypass marriage and skip ahead to the baby and happiness part of her story.;netflix;'International TV Shows', 'Romantic TV Shows', 'TV Comedies', Teens, On the brink of 40 and single, a magazine editor aims to bypass marriage and skip ahead to the baby and happiness part of her story.
Blue Jasmine;2013;Teens;98 min;'Comedies', 'Dramas', 'Independent Movies';July 1, 2022;7.2;When a socialite's expensive New York lifestyle crumbles around her, she moves across the country to live with her sister but struggles to adjust.;netflix, hbo max;'Comedies', 'Dramas', 'Independent Movies', Teens, When a socialite's expensive New York lifestyle crumbles around her, she moves across the country to live with her sister but struggles to adjust.
Boogie Nights;1997;Adults;155 min;'Comedies', 'Dramas', 'Independent Movies';July 1, 2022;8.0;A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.;netflix;'Comedies', 'Dramas', 'Independent Movies', Adults, A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.
Catch Me If You Can;2002;Teens;142 min;'Dramas';July 1, 2022;8.0;An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.;netflix;'Dramas', Teens, An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.
Deliverance;1972;Adults;109 min;'Action & Adventure', 'Classic Movies', 'Dramas';July 1, 2022;7.8;A canoeing trip down a Georgia river turns sinister when dangerous locals descend and force a group of friends to kill or be killed.;netflix, hbo max;'Action & Adventure', 'Classic Movies', 'Dramas', Adults, A canoeing trip down a Georgia river turns sinister when dangerous locals descend and force a group of friends to kill or be killed.
GoodFellas;1990;Adults;145 min;'Classic Movies', 'Dramas';July 1, 2022;8.7;Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family — a high-rolling dream turned paranoid nightmare.;netflix;'Classic Movies', 'Dramas', Adults, Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family — a high-rolling dream turned paranoid nightmare.
I Am Legend;2007;Teens;100 min;'Action & Adventure', 'Sci-Fi & Fantasy';July 1, 2022;7.3;After a global catastrophe, a military scientist fights for survival in a deserted New York City teeming with nocturnal, bloodthirsty mutants.;netflix, hbo max;'Action & Adventure', 'Sci-Fi & Fantasy', Teens, After a global catastrophe, a military scientist fights for survival in a deserted New York City teeming with nocturnal, bloodthirsty mutants.
Natural Born Killers;1994;Adults;119 min;'Classic Movies', 'Cult Movies', 'Dramas';July 1, 2022;7.3;Mickey and Mallory Knox embark on an interstate killing spree that triggers a violent pursuit and garners high ratings for a tabloid TV star.;netflix, hbo max;'Classic Movies', 'Cult Movies', 'Dramas', Adults, Mickey and Mallory Knox embark on an interstate killing spree that triggers a violent pursuit and garners high ratings for a tabloid TV star.
Old School;2003;Adults;91 min;'Comedies';July 1, 2022;7.1;When attorney Mitch moves into a house near his old college campus after a breakup, his married buddies persuade him to host a never-ending frat party.;netflix;'Comedies', Adults, When attorney Mitch moves into a house near his old college campus after a breakup, his married buddies persuade him to host a never-ending frat party.
Seven;1995;Adults;127 min;'Thrillers';July 1, 2022;8.6;Two detectives — an eager rookie and a jaded veteran — search desperately for a serial killer whose horrific crimes represent the Seven Deadly Sins.;netflix;'Thrillers', Adults, Two detectives — an eager rookie and a jaded veteran — search desperately for a serial killer whose horrific crimes represent the Seven Deadly Sins.
Sherlock Holmes;2009;Teens;128 min;'Action & Adventure', 'Comedies';July 1, 2022;7.5;The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.;netflix, hbo max;'Action & Adventure', 'Comedies', Teens, The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.
Sherlock Holmes: A Game of Shadows;2011;Teens;129 min;'Action & Adventure', 'Comedies';July 1, 2022;7.5;Sherlock Holmes and Dr. Watson return for another daring adventure to thwart a criminal mastermind's deadly plot with the help of a mysterious woman.;netflix, hbo max;'Action & Adventure', 'Comedies', Teens, Sherlock Holmes and Dr. Watson return for another daring adventure to thwart a criminal mastermind's deadly plot with the help of a mysterious woman.
Snatch;2000;Adults;103 min;'Comedies', 'Cult Movies', 'International Movies';July 1, 2022;8.3;Two boxing promoters inadvertently get roped into a diamond heist when a gangster with an 84-carat gem and a gambling problem arrives in London.;netflix;'Comedies', 'Cult Movies', 'International Movies', Adults, Two boxing promoters inadvertently get roped into a diamond heist when a gangster with an 84-carat gem and a gambling problem arrives in London.
The Blind Side;2009;Teens;128 min;'Dramas', 'Sports Movies';July 1, 2022;7.5;A teen without a home finds success on and off the football field after he’s taken in by a determined mom and her affluent family. Based on a true story.;netflix, hbo max;'Dramas', 'Sports Movies', Teens, A teen without a home finds success on and off the football field after he’s taken in by a determined mom and her affluent family. Based on a true story.
The Dark Knight Rises;2012;Teens;164 min;'Action & Adventure', 'Sci-Fi & Fantasy';July 1, 2022;8.3;Billionaire Bruce Wayne must once again don the cape of his alter ego, Batman, when Gotham is threatened by new foes such as Catwoman and Bane.;netflix, hbo max;'Action & Adventure', 'Sci-Fi & Fantasy', Teens, Billionaire Bruce Wayne must once again don the cape of his alter ego, Batman, when Gotham is threatened by new foes such as Catwoman and Bane.
The Dirty Dozen;1967;Adults;150 min;'Action & Adventure', 'Classic Movies', 'Dramas';July 1, 2022;7.6;During World War II, the US Army recruits 12 convicts for a secret mission that sends them behind enemy lines to kill high-ranking German officers.;netflix, hbo max;'Action & Adventure', 'Classic Movies', 'Dramas', Adults, During World War II, the US Army recruits 12 convicts for a secret mission that sends them behind enemy lines to kill high-ranking German officers.
The Lift Boy;2020;Adults;107 min;'Dramas', 'Independent Movies', 'International Movies';July 1, 2022;7.2;When a lazy young man replaces his father as the elevator operator of a posh residential complex, what he sees as menial work soon takes on new meaning.;netflix;'Dramas', 'Independent Movies', 'International Movies', Adults, When a lazy young man replaces his father as the elevator operator of a posh residential complex, what he sees as menial work soon takes on new meaning.
The Originals;2018;Teens;"
                    New Season Added:";'TV Dramas', 'TV Horror', 'TV Mysteries';July 1, 2022;8.4;"The Mikaelsons move to New Orleans and form an alliance with local witches in an effort to rule the city once again in this ""Vampire Diaries"" spinoff.";netflix;"'TV Dramas', 'TV Horror', 'TV Mysteries', Teens, The Mikaelsons move to New Orleans and form an alliance with local witches in an effort to rule the city once again in this ""Vampire Diaries"" spinoff."
The Pursuit of Happyness;2006;Teens;117 min;'Dramas';July 1, 2022;7.9;A newly single father determined to lift himself and his son out of poverty works his way up from the bottom at a stock brokerage firm.;netflix;'Dramas', Teens, A newly single father determined to lift himself and his son out of poverty works his way up from the bottom at a stock brokerage firm.
The Talented Mr. Ripley;1999;Adults;139 min;'Dramas', 'Thrillers';July 1, 2022;7.3;Con artist Tom Ripley charms his way into the lavish life of a charismatic heir — and takes drastic measures to keep his lies from catching up with him.;netflix, hbo max;'Dramas', 'Thrillers', Adults, Con artist Tom Ripley charms his way into the lavish life of a charismatic heir — and takes drastic measures to keep his lies from catching up with him.
The Terminal;2004;Teens;130 min;'Comedies', 'Dramas', 'Romantic Movies';July 1, 2022;7.5;A friendly tourist unexpectedly finds himself living in JFK airport after a coup d'état in his homeland renders his passport worthless.;netflix;'Comedies', 'Dramas', 'Romantic Movies', Teens, A friendly tourist unexpectedly finds himself living in JFK airport after a coup d'état in his homeland renders his passport worthless.
Zero Dark Thirty;2012;Adults;157 min;'Action & Adventure', 'Dramas';July 1, 2022;7.5;In the wake of the 9/11 terrorist attacks, the decade-long hunt for Osama bin Laden drives a determined CIA agent to follow her intuition to find him.;netflix;'Action & Adventure', 'Dramas', Adults, In the wake of the 9/11 terrorist attacks, the decade-long hunt for Osama bin Laden drives a determined CIA agent to follow her intuition to find him.
Top Gear;2020;Adults;"
                    New Season Added:";'British TV Shows', 'International TV Shows', 'Reality TV';June 28, 2022;8.8;A crew of car lovers tests the limits of luxury vehicles in this hit show that also features celebrities racing on a test track.;netflix, hbo max;'British TV Shows', 'International TV Shows', 'Reality TV', Adults, A crew of car lovers tests the limits of luxury vehicles in this hit show that also features celebrities racing on a test track.
Visaranai;2015;Adults;116 min;'Dramas', 'International Movies', 'Thrillers';June 28, 2022;8.6;In this fact-based drama, politically motivated cops in Andhra Pradesh set out to frame four Tamil laborers for a crime, torturing them to no avail.;netflix;'Dramas', 'International Movies', 'Thrillers', Adults, In this fact-based drama, politically motivated cops in Andhra Pradesh set out to frame four Tamil laborers for a crime, torturing them to no avail.
Rumble: The Indians Who Rocked the World;2017;Adults;102 min;'Documentaries', 'Music & Musicals';June 27, 2022;7.6;Filmmaker Catherine Bainbridge examines the musical contributions of indigenous artists and their influence on popular culture.;netflix;'Documentaries', 'Music & Musicals', Adults, Filmmaker Catherine Bainbridge examines the musical contributions of indigenous artists and their influence on popular culture.
Anek;2022;Adults;146 min;'Action & Adventure', 'Dramas', 'International Movies';June 26, 2022;7.2;Amid turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.;netflix;'Action & Adventure', 'Dramas', 'International Movies', Adults, Amid turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.
Grey's Anatomy;2021;Teens;"
                    New Season Added:";'Romantic TV Shows', 'TV Dramas';June 25, 2022;7.7;Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.;netflix;'Romantic TV Shows', 'TV Dramas', Teens, Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.
Legacies;2021;Teens;"
                    New Season Added:";'TV Dramas', 'TV Sci-Fi & Fantasy', 'Teen TV Shows';June 24, 2022;7.2;Born into a rare supernatural bloodline, Hope Mikaelson attends a gifted private school to master her powers and control her innate urges for evil.;netflix;'TV Dramas', 'TV Sci-Fi & Fantasy', 'Teen TV Shows', Teens, Born into a rare supernatural bloodline, Hope Mikaelson attends a gifted private school to master her powers and control her innate urges for evil.
Reign;2017;Teens;"
                    New Season Added:";'TV Dramas';June 24, 2022;7.5;This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue.;netflix;'TV Dramas', Teens, This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue.
ONE PIECE;2005;Teens;"
                    New Season Added:";'Anime Series';June 22, 2022;8.8;Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.;netflix;'Anime Series', Teens, Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.
Sing 2;2021;Older Kids;110 min;'Children & Family Movies', 'Comedies', 'Music & Musicals';June 22, 2022;7.3;Buster Moon and his musically gifted friends must persuade the reclusive rock star Clay Calloway to join them for the opening of their new show.;netflix;'Children & Family Movies', 'Comedies', 'Music & Musicals', Older Kids, Buster Moon and his musically gifted friends must persuade the reclusive rock star Clay Calloway to join them for the opening of their new show.
The Mist;2007;Adults;126 min;'Horror Movies', 'Sci-Fi & Fantasy', 'Thrillers';June 22, 2022;7.2;After a brutal storm pounds a small town, the residents discover a malevolent mist that hangs over their homes, killing anyone who remains outside.;netflix;'Horror Movies', 'Sci-Fi & Fantasy', 'Thrillers', Adults, After a brutal storm pounds a small town, the residents discover a malevolent mist that hangs over their homes, killing anyone who remains outside.
The Umbrella Academy;2022;Adults;"
                    New Season Added:";'TV Action & Adventure', 'TV Mysteries', 'TV Sci-Fi & Fantasy';June 22, 2022;8.0;Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity.;netflix;'TV Action & Adventure', 'TV Mysteries', 'TV Sci-Fi & Fantasy', Adults, Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity.
All That;1997;Kids;"
                    New Season Added:";"""Kids' TV"", 'TV Comedies'";June 21, 2022;7.4;A cast of multi-talented kids feature in hilariously wacky skits like Good Burger and Ask Ashley in this sketch comedy series.;netflix;"""Kids' TV"", 'TV Comedies', Kids, A cast of multi-talented kids feature in hilariously wacky skits like Good Burger and Ask Ashley in this sketch comedy series."
Ned's Declassified School Survival Guide;2006;Kids;"
                    New Season Added:";"""Kids' TV"", 'TV Comedies'";June 21, 2022;7.3;Middle schooler Ned Bigby assembles a survival guide for kids just like him to prepare them for the ups and downs of adolescence.;netflix;"""Kids' TV"", 'TV Comedies', Kids, Middle schooler Ned Bigby assembles a survival guide for kids just like him to prepare them for the ups and downs of adolescence."
The Mole;2004;Teens;"
                    New Season Added:";'Reality TV', 'TV Action & Adventure', 'TV Mysteries';June 21, 2022;7.5;In this competition show, contestants try to earn $1 million for a pot that only one of them will win — while one player secretly sabotages them.;netflix;'Reality TV', 'TV Action & Adventure', 'TV Mysteries', Teens, In this competition show, contestants try to earn $1 million for a pot that only one of them will win — while one player secretly sabotages them.
Food Wars!: Shokugeki no Soma;2016;Adults;"
                    New Season Added:";'Anime Series', 'International TV Shows', 'Teen TV Shows';June 20, 2022;8.2;Young chef Soma enters the prestigious Totsuki Culinary Academy, where he must emerge victorious in over-the-top cooking battles or face expulsion.;netflix;'Anime Series', 'International TV Shows', 'Teen TV Shows', Adults, Young chef Soma enters the prestigious Totsuki Culinary Academy, where he must emerge victorious in over-the-top cooking battles or face expulsion.
Philomena;2013;Teens;98 min;'Dramas', 'Independent Movies', 'International Movies';June 20, 2022;7.5;A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.;netflix;'Dramas', 'Independent Movies', 'International Movies', Teens, A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.
It;2017;Adults;135 min;'Horror Movies';June 19, 2022;7.2;As kids vanish throughout town, a group of outcasts must face their biggest fears as well as a murderous, terrifying and seemingly invincible clown.;netflix, hbo max;'Horror Movies', Adults, As kids vanish throughout town, a group of outcasts must face their biggest fears as well as a murderous, terrifying and seemingly invincible clown.
SPRIGGAN;2022;Adults;1 Season;'Anime Series', 'International TV Shows';June 18, 2022;7.1;An ancient civilization's relics on Earth hold dangerous powers — it's up to ARCAM Corporation's Spriggan agents to keep them out of the wrong hands.;netflix;'Anime Series', 'International TV Shows', Adults, An ancient civilization's relics on Earth hold dangerous powers — it's up to ARCAM Corporation's Spriggan agents to keep them out of the wrong hands.
Cold Case Files;2017;Adults;1 Season;'Crime TV Shows', 'Docuseries';June 16, 2022;8.0;Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.;netflix, hulu;'Crime TV Shows', 'Docuseries', Adults, Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.
Love & Anarchy;2022;Adults;"
                    New Season Added:";'International TV Shows', 'Romantic TV Shows', 'TV Comedies';June 16, 2022;7.4;A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.;netflix;'International TV Shows', 'Romantic TV Shows', 'TV Comedies', Adults, A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.
Surviving R. Kelly;2019;Adults;1 Season;'Crime TV Shows', 'Docuseries';June 16, 2022;7.4;In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.;netflix;'Crime TV Shows', 'Docuseries', Adults, In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.
Surviving R. Kelly Part II: The Reckoning;2020;Adults;1 Season;'Crime TV Shows', 'Docuseries';June 16, 2022;7.5;As more women come forward with harrowing accusations against R. Kelly, his criminal case gains momentum in this follow-up to the powerful docuseries.;netflix;'Crime TV Shows', 'Docuseries', Adults, As more women come forward with harrowing accusations against R. Kelly, his criminal case gains momentum in this follow-up to the powerful docuseries.
Won't You Be My Neighbor?;2018;Teens;95 min;'Documentaries';June 16, 2022;8.2;When Fred Rogers found his calling in television, his unassuming children's show was beloved by generations for his kindness, empathy and understanding.;netflix;'Documentaries', Teens, When Fred Rogers found his calling in television, his unassuming children's show was beloved by generations for his kindness, empathy and understanding.
Blue Exorcist;2017;Adults;"
                    New Season Added:";'Anime Series', 'International TV Shows';June 15, 2022;7.6;Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor.;netflix;'Anime Series', 'International TV Shows', Adults, Determined to throw off the curse of being Satan's illegitimate son, Rin enters the True Cross Academy to become an exorcist, just like his mentor.
Home2Home;2020;Adults;111 min;'Documentaries', 'International Movies', 'Sports Movies';June 15, 2022;7.9;In this documentary, a young man with a taste for adventure bikes 27,000 miles around the world and encounters people from all walks of life.;netflix;'Documentaries', 'International Movies', 'Sports Movies', Adults, In this documentary, a young man with a taste for adventure bikes 27,000 miles around the world and encounters people from all walks of life.
Iron Chef: Quest for an Iron Legend;2022;Kids;1 Season;'Reality TV';June 15, 2022;7.2;Iron Chef is back! In this next-level cooking competition, culinary stars compete to enter an epic finale and vie for the title of Iron Legend.;netflix;'Reality TV', Kids, Iron Chef is back! In this next-level cooking competition, culinary stars compete to enter an epic finale and vie for the title of Iron Legend.
Material;2012;Teens;94 min;'Comedies', 'Dramas', 'International Movies';June 15, 2022;7.2;A dutiful son must hide his pursuit of stand-up comedy from his staunch father, who expects him to inherit his store and uphold their Muslim beliefs.;netflix;'Comedies', 'Dramas', 'International Movies', Teens, A dutiful son must hide his pursuit of stand-up comedy from his staunch father, who expects him to inherit his store and uphold their Muslim beliefs.
When My Love Blooms;2020;Teens;1 Season;'International TV Shows', 'Romantic TV Shows', 'TV Dramas';June 15, 2022;7.4;A man and woman who were in love in their 20s meet again in their 40s, and find that they've both become different people during their years apart.;netflix;'International TV Shows', 'Romantic TV Shows', 'TV Dramas', Teens, A man and woman who were in love in their 20s meet again in their 40s, and find that they've both become different people during their years apart.
Lunana: A Yak in the Classroom;2019;Teens;110 min;'Children & Family Movies', 'Dramas', 'International Movies';June 13, 2022;7.3;A young man with a dream of moving to Australia finds himself teaching a classroom of eager children — and a yak — in a remote Bhutanese village.;netflix;'Children & Family Movies', 'Dramas', 'International Movies', Teens, A young man with a dream of moving to Australia finds himself teaching a classroom of eager children — and a yak — in a remote Bhutanese village.
Breaded Life;2021;Adults;121 min;'Dramas', 'International Movies';June 10, 2022;7.7;After everyone in his life mysteriously forgets him, a wealthy young man must seek help from the only one who recognizes him — the local bread seller.;netflix;'Dramas', 'International Movies', Adults, After everyone in his life mysteriously forgets him, a wealthy young man must seek help from the only one who recognizes him — the local bread seller.
Closet Monster;2015;Adults;90 min;'Dramas', 'Independent Movies', 'LGBTQ Movies';June 10, 2022;7.1;Teenage Oscar is desperate to get out — out of his home, out of his head — but isn't sure how to be himself in a world where freedom doesn't feel safe.;netflix;'Dramas', 'Independent Movies', 'LGBTQ Movies', Adults, Teenage Oscar is desperate to get out — out of his home, out of his head — but isn't sure how to be himself in a world where freedom doesn't feel safe.
Peaky Blinders;2022;Adults;"
                    New Season Added:";'British TV Shows', 'Crime TV Shows', 'International TV Shows';June 10, 2022;8.8;A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.;netflix;'British TV Shows', 'Crime TV Shows', 'International TV Shows', Adults, A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.
Vice;2018;Adults;132 min;'Comedies', 'Dramas';June 10, 2022;7.3;With his formidable wife Lynne by his side, Dick Cheney gains power and shrewdly manipulates the U.S. vice presidency with explosive global consequences.;netflix;'Comedies', 'Dramas', Adults, With his formidable wife Lynne by his side, Dick Cheney gains power and shrewdly manipulates the U.S. vice presidency with explosive global consequences.
2020;2021;Teens;1 Season;'Crime TV Shows', 'International TV Shows', 'TV Dramas';June 9, 2022;8.0;Seeking personal revenge, an investigator goes undercover to capture a wanted drug lord, but her mission gets complicated by unwanted feelings.;netflix;'Crime TV Shows', 'International TV Shows', 'TV Dramas', Teens, Seeking personal revenge, an investigator goes undercover to capture a wanted drug lord, but her mission gets complicated by unwanted feelings.
Al Hayba;2020;Teens;"
                    New Season Added:";'Crime TV Shows', 'International TV Shows', 'TV Dramas';June 9, 2022;7.2;In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.;netflix;'Crime TV Shows', 'International TV Shows', 'TV Dramas', Teens, In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.
Gladbeck: The Hostage Crisis;2022;Adults;92 min;'Documentaries', 'International Movies';June 8, 2022;7.6;In August 1988, two armed bank robbers keep German police at bay for 54 hours during a hostage-taking drama that ends in a shootout and three deaths.;netflix;'Documentaries', 'International Movies', Adults, In August 1988, two armed bank robbers keep German police at bay for 54 hours during a hostage-taking drama that ends in a shootout and three deaths.
Hustle;2022;Adults;118 min;'Comedies', 'Dramas', 'Sports Movies';June 8, 2022;7.3;When a down-on-his-luck basketball scout finds a potential superstar in Spain, he sets out to prove they both have what it takes to make it in the NBA.;netflix;'Comedies', 'Dramas', 'Sports Movies', Adults, When a down-on-his-luck basketball scout finds a potential superstar in Spain, he sets out to prove they both have what it takes to make it in the NBA.
Keep Sweet: Pray and Obey;2022;Adults;1 Season;'Crime TV Shows', 'Docuseries';June 8, 2022;7.5;This docuseries examines the rise of Warren Jeffs in the Fundamentalist Church of Jesus Christ of Latter-Day Saints and his shocking criminal case.;netflix;'Crime TV Shows', 'Docuseries', Adults, This docuseries examines the rise of Warren Jeffs in the Fundamentalist Church of Jesus Christ of Latter-Day Saints and his shocking criminal case.
