title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
The Making of Doctor Strange in the Multiverse of Madness;2022;TV-14;59 min;['Documentary'];July 8, 2022;;"Join director Sam Raimi and cast in the Multiverse as they bring Marvel’s darkest story to life.                                        
                      Dive deeper into the Multiverse with the cast and crew of “Doctor Strange in The Multiverse of Madness.” Join visionary director Sam Raimi and the cast of the film as they recount their experiences bringing Marvel’s darkest story to life. In his long-awaited return to the superhero genre, see how Sam Raimi brought his signature filmmaking style to the film. Hear how the story was developed by writer Michael Waldron through a collaborative process, where every idea was on the table. Find out how Benedict Cumberbatch wanted to explore darker sides of his character and what it was like to play multiple versions of Doctor Strange. You’ll get to know more about Wanda Maximoff’s surprising evolution into the Scarlet Witch and how Elizabeth Olsen relished the opportunity of being the villain. Meet Xochitl Gomez and find out how she felt taking on the role of America Chavez, Marvel’s newest hero with powers not yet seen in the MCU. From world-building to universe-building, get a first hand account from the artists on the film of what it was like to design, create and make each universe unique and believable. Get a visual effects breakdown of the many complex action sequences in the film and the level of teamwork it took to bring it to the screen. Discover all this and more in “ASSEMBLED: The Making of Doctor Strange in the Multiverse of Madness.”                    


Read More..."
The Wonderful Summer of Mickey Mouse;2022;TV-G;24 min;['Action-Adventure', 'Animation', 'Comedy'];July 8, 2022;;"Mickey Mouse and friends recall the wild events prior to the Annual Summer Fireworks Spectacular.                                        
                      Mickey Mouse and his friends recall the wild events leading up to the Annual Summer Fireworks Spectacular.                    


Read More..."
America the Beautiful;2022;TV-PG;1 Season;;July 4, 2022;9.2/10;"North America and its wildlife as you’ve never seen them before.                                        
                      From the award-winning producers of “Planet Earth,” “Frozen Planet,” and the “Disneynature” films, “America the Beautiful,” narrated by Michael B. Jordan, is the jaw-dropping story of North America’s picturesque lands and its amazing animals. The continent is the most diverse and extreme land on Earth; the only place where you can find every landscape, from Arctic ice caps to baking deserts and everything in between. We take a journey through America’s most spectacular regions – the mountainous Northwest, the steamy South, the arid West and the endless Heartland. Whatever the neighborhood, there’s a hero who can make it a home. Smart, tough, brave, you name it, the animals of North America have what it takes to overcome the elements and thrive. In our closing episode, we meet the human heroes fighting to preserve our wildlife and wild places for future generations.                    


Read More..."
50 Shades of Sharks;2020;TV-14;44 min;['Animals & Nature', 'Documentary'];July 1, 2022;;"50 Shades of Sharks reveals the facets of shark personalities that are rarely chronicled.                                        
                      50 Shades of Sharks reveals facets of sharks that are rarely chronicled; they’re fragile, delicate, ingenious, collaborative and even clumsy at times.                    


Read More..."
Hawaiian: The Legend of Eddie Aikau;2013;87 min;Genres:;['Biographical', 'Documentary', 'Sports'];July 1, 2022; ;"This film chronicles the remarkable life and power of Eddie Aikau.                                        
                      “Eddie Would Go.” It's a phrase that has long carried deep meaning with countless Hawaiians and surfers worldwide. Hawaiian: The Legend of Eddie Aikau goes beyond those famous three words and chronicles the remarkable life and power of Eddie Aikau, the legendary Hawaiian big wave surfer, pioneering lifeguard and ultimately doomed crew member of the Polynesian voyaging canoe Hokule'a. With a rich combination of archival imagery, contemporary interviews and meticulously researched historical source material, this film is a compelling exploration of the tragic decline and extraordinary re-birth of the Hawaiian culture as personified by a native son whose dynamic life and heroic death served as inspiration to an entire spiritual movement.                    


Read More..."
Raging Bullshark;2020;TV-14;45 min;['Animals & Nature', 'Documentary'];July 1, 2022;;"The bull shark is here to prove that it is the new champion of the chomp.                                        
                      For years, the smaller, unremarkable-looking bull shark has come in third behind the great white and tiger sharks when it comes to deadly attacks on humans. But as climate change warms the world's waters, and its territory begins to spread, the bull shark enters the ring to prove its worth and leave with the title of the world's most dangerous shark.                    


Read More..."
Slaying the Badger;2014;77 min;Genres:;['Biographical', 'Documentary', 'Historical'];July 1, 2022;;"LeMond looks back at the pivotal 1986 Tour de France and his rivalry with teammate Bernard Hinault.                                        
                      Before Lance Armstrong, there was Greg LeMond, who is now the first and only American to win the Tour de France. In this engrossing film, LeMond looks back at the pivotal 1986 Tour and his increasingly vicious rivalry with friend, teammate and mentor Bernard Hinault. The reigning Tour champion and brutal competitor known as ""The Badger,"" Hinault ""promised"" to help LeMond to his first victory, in return for LeMond supporting him in the previous year. But in a sport that purports to reward teamwork, it's really every man for himself.                    


Read More..."
The Birth of Big Air;2010;51 min;Genres:;['Documentary'];July 1, 2022;;"Join Jeff Tremaine, Spike Jonze & Johnny Knoxville as they share the story of BMX legend Mat Hoffman                                        
                      Mat Hoffman is a BMX legend... 10-time World Champion and X Games icon, he has a medical hit list that includes dozens of broken bones, concussions, and multiple comas. Some assume Hoffman has a death wish. But actually, it’s a life wish: to find out what’s possible on a BMX bike. Join director Jeff Tremaine and producers Spike Jonze and Johnny Knoxville as they share the incredible story of what happens when you combine big dreams and tons of plywood.                    


Read More..."
The Good, The Bad, The Hungry;2019;77 min;Genres:;['Biographical', 'Documentary', 'Sports'];July 1, 2022; ;"Two competitors address their years-long rivalry on their sport's biggest stage.                                        
                      “The Good, The Bad, The Hungry” tells the eye and mouth-opening tale of Takeru Kobayashi, the native of Nagano, Japan, who won the Nathan’s Hot Dog Eating Contest six consecutive times, and Joey Chestnut, the Californian who emerged to dethrone the Japanese legend in 2007 and became the face of the sport. It’s a story that at times is both outrageous and poignant, exploring the origins of the careers of Kobayashi and Chestnut, every bite of their head-to-head battles, as well as the no-holds-barred promotional efforts of Major League Eating, the organization that oversees the contest. It may well be a sport like no other – but as the film reveals, the competition, and how it changed the lives of these two men forever, was as real as anything you’ll ever see on a field of play.                    


Read More..."
World's Biggest Great White?;2019;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 1, 2022;;"After three great whites are spotted off Oahu, could another be lurking just below the surface?                                        
                      January 2019, three huge great white sharks are spotted off the coast of Oahu, Hawaii, where white sharks are rarely seen. One of them is believed to be Deep Blue, the largest great white ever caught on camera. But the sightings don’t stop there. Just a few weeks later, two kayak fishermen have a white shark encounter of their own. Who is this great white? And what is he doing in Hawaiian waters?                    


Read More..."
World’s Biggest Tiger Shark?;2020;TV-PG;44 min;['Animals & Nature', 'Documentary'];July 1, 2022;;"Marine biologist Kori Garza and cinematographer Andy Casagrande track a huge tiger shark.                                        
                      Marine biologist Kori Garza and Emmy Award-winning underwater cinematographer Andy Casagrande journey to French Polynesia to track one of the largest tiger sharks on record. Their search takes them to a remote lagoon where they witness a population of juvenile tiger sharks exhibiting cooperative hunting tactics and capture the behavior on film for the first time.                    


Read More..."
Baymax!;2022;TV-PG;1 Season;;June 29, 2022;;"The affable, inflatable healthcare companion robot sets out to do what he does best: help others.                                        
                      Walt Disney Animation Studios’ “Baymax!” returns to the fantastical city of San Fransokyo where the affable, inflatable, inimitable healthcare companion robot, Baymax (voice of Scott Adsit), sets out to do what he was programmed to do best: help others. The six-episode series of healthcare capers introduces extraordinary characters who need Baymax’s signature approach to healing in more ways than they realize. Created by Don Hall and produced by Roy Conli and Brad Simonsen, filmmakers behind 2014’s Oscar®-winning feature, “Big Hero 6,” this new series’ episodes are directed by Dean Wellins (Eps 1, 2, 6), Lissa Treiman (Ep 3), Dan Abraham (Ep 4) and Mark Kennedy (Ep 5). Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
LANCE;2020;1 Season;Genres:;;June 29, 2022; ;"Lance Armstrong’s rise and fall was among the most dramatic stories in sports history.                                        
                      From acclaimed director Marina Zenovich, LANCE is a fascinating, revealing, comprehensive, chronicle of one of the most inspirational – and then infamous – athletes of all time. Based around extensive interviews and conversations with Lance Armstrong, the two-part, four-hour film tells the story of the cyclist’s rise out of Texas as a young superstar cyclist; his harrowing battle with testicular cancer; his recovery and emergence as a global icon with his seven consecutive Tour de France titles; and then his massive fall after he was exposed in one of the largest doping scandals in history. Armstrong, along with a collection of teammates, friends, rivals, and journalists, all reflect on his story, creating a fascinating character study, capturing a unique chapter of sports history, and insisting the audience make its own interpretations about the many different sides of a complex saga.                    


Read More..."
Lost Treasures of Rome;2022;TV-PG;1 Season;;June 29, 2022;;"Archaeologists unearth lost Roman treasures in this immersive new series.                                        
                      This new series follows International teams of archaeologists on the front line, as they embark on a season of excavations to unravel the secrets of life in the Roman Empire. Crawling beneath Pompeii, unearthing an enormous lost coliseum, and hauling a 2000 year old battleship ram from the depths of the ocean, they race to unlock the secrets of this ancient civilization.                    


Read More..."
PRIDE | To Be Seen: A Soul of a Nation Presentation;2022;42 min;Genres:;['Documentary'];June 24, 2022;;"Documenting the LGBTQ experience.                                        
                      Documenting the LGBTQ experience and examining what it means to be seen as a member of the community; Cara Delevingne hosts.                    


Read More..."
Rise;2022;PG;113 min;['Biographical', 'Drama', 'Sports'];June 24, 2022;;"Real-life story about the Antetokounmpos and the first trio of brothers to become NBA champions.                                        
                      “Rise” is based on the triumphant real-life story about the remarkable family that produced the first trio of brothers to become NBA champions in the history of the league – Giannis and Thanasis Antetokounmpo of the Milwaukee Bucks and Los Angeles Laker Kostas Antetokounmpo, and their younger brother Alex. Audiences have never seen a story like that of the Antetokounmpos, which mixes Nigerian heritage, Greek nationality, and extraordinary athletic ability. In “Rise,” audiences will witness how one family’s vision, determination and faith lifted them out of obscurity to launch the careers of three NBA champions – two-time MVP Giannis and his brothers, Thanasis and Kostas. During the 2021 season, Giannis and Thanasis helped bring the Bucks their first championship ring in 50 years, while Kostas played for the previous season champs, the Lakers. After emigrating to Greece from Nigeria, Vera and Charles Antetokounmpo struggled to survive and provide for their five children, while living under the daily threat of deportation. With their oldest son still in Nigeria with relatives, the couple were desperate to obtain Greek citizenship but found themselves undermined by a system that blocked them at every turn. When they weren’t selling items to tourists on the streets of Athens with the rest of the family, the brothers would play basketball with a local youth team. Latecomers to the sport, they discovered their great abilities on the basketball court and worked hard to become world class athletes. With the help of an agent, Giannis entered the NBA Draft in 2013 in a long shot prospect that would change not only his life but the life of his entire family.                    


Read More..."
Trevor: The Musical;2022;TV-PG;113 min;['Coming of Age', 'Drama', 'Musical'];June 24, 2022;;"""Trevor: The Musical"" is a funny and moving story about self-discovery and the power of acceptance.                                        
                      It’s 1981 in America, and 13-year-old Trevor Nelson is busy navigating adolescence in suburbia while dreaming of a life in show business. When an embarrassing incident at school suddenly puts him in the wrong spotlight, Trevor must summon the courage to forge his own path.  Based on the Academy Award®-winning short film “Trevor: The Musical” is a funny and deeply moving story about self-discovery and the power of acceptance. Filmed at Stage 42 in New York City in January 2022, the film brings this inspiring and one-of-a kind musical into the homes of viewers around the world.  This musical contains depictions of suicidal ideation. Viewer discretion is advised.                    


Read More..."
37 Words;2022;1 Season;Genres:;;June 22, 2022;;"The story of Title IX – the hard-fought battle to push for equal rights in education and athletics.                                        
                      37 Words tells the full story of Title IX – the hard-fought battle to push for equal rights in education and athletics, the decades-spanning effort to nullify its impact, and the rippling impacts of the landmark civil rights law that continue to play out to today. Helmed by acclaimed directors Dawn Porter and Nicole Newnham, this four-part series charts the spectacular transformation 37 words have inspired in American culture and the lives of women, as well as the many ways in which the spirit of this bold law has yet to be fully realized.                    


Read More..."
Doctor Strange in the Multiverse of Madness;2022;PG-13;128 min;['Action-Adventure', 'Fantasy', 'Science Fiction'];June 22, 2022;7.4/10;"Adventuring through the Multiverse, Doctor Strange breaks open infinite possibilities for the MCU.                                        
                      In Marvel Studios’ “Doctor Strange in the Multiverse of Madness,” the MCU unlocks the Multiverse and pushes its boundaries further than ever before. Journey into the unknown with Doctor Strange, who, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
Eureka!;2022;TV-Y;1 Season;;June 22, 2022;;"Eureka is a prehistoric inventor ahead of her time.                                        
                      “Eureka!” follows the adventures of a young inventor living in a fantastical prehistoric world. She’s a big thinker who’s ahead of her time. Way, way ahead of her time - in fact, she invented the wheel.                    


Read More..."
G.O.A.T.;2021;TV-G;1 Season;;June 22, 2022;;"Talking Goats? Trick Shots? Elephant Toothpaste?!                                        
                      G.O.A.T. scours the internet to compile the greatest of all time viral videos across YouTube, TikTok and Instagram. The series is packed with some of the biggest influencer talent for kids such as Mark Rober, Unspeakable and Rocket Jump to name a few. In the series you'll get everything from Ninja Squirrel Mazes, Unbelievable Trick Shots, Cats & Dominoes, Shark Attack experiments and much more.                    


Read More..."
The Villains of Valley View;2022;TV-G;1 Season;;June 22, 2022;4.6/10;"Supervillain family hides out and attempts to be good.                                        
                      When teen supervillain Havoc stands up against the leader of all villains, he threatens to destroy her and her family – which forces them to change their identities and hide out in a suburb of Texas. With the help of their über-happy new neighbor Hartley, Havoc (now Amy), her brother Chaos (now Jake) and the rest of her family, will have to hide their powers and abandon their reckless villain ways in favor of something they’ve fought against all their lives… being good.                    


Read More..."
Big Shot;2013;77 min;Genres:;['Sports'];June 17, 2022;;"How a scam of such epic proportions plagued an iconic NHL franchise and almost went undetected.                                        
                      In 1996, the once-dominant New York Islanders were in serious trouble. Lousy performance and poor management were driving away the hockey franchise's loyal fan base. The team hit bottom. Then along came a Dallas businessman named John Spano, who swooped in and agreed to buy the team for 165 million dollars. Things began to look up for the Islanders - way up. But it was all smoke and mirrors. ""Big Shot"" goes inside an extraordinary scandal that engulfed the Islanders. Featuring the only interview Spano has ever given about the Islanders deal, this film is an unforgettable tale of a dream that became a lie – and how a scam of such epic proportions initially went undetected.                    


Read More..."
Kings Ransom;2009;51 min;Genres:;['Documentary', 'Historical', 'Sports'];June 17, 2022;;"On August 9, 1988, the NHL was forever changed with the single stroke of a pen.                                        
                      On August 9, 1988, the NHL was forever changed with the single stroke of a pen. The Edmonton Oilers, fresh off their fourth Stanley Cup victory in five years, signed a deal that sent Wayne Gretzky, a Canadian national treasure and the greatest hockey player ever to play the game, to the Los Angeles Kings in a multiplayer, multimillion-dollar deal. As bewildered Oilers fans struggled to make sense of the unthinkable, fans in Los Angeles were rushing to purchase season tickets at a rate so fast it overwhelmed the Kings' box office. Overnight, a franchise largely overlooked in its 21-year existence was suddenly playing to sellout crowds and standing ovations, and a league often relegated to ""little brother"" status exploded from 21 teams to 30 in less than a decade. Acclaimed director Peter Berg presents the captivating story of the trade that knocked the wind out of an entire country, and placed a star-studded city right at the humble feet of a 27-year-old kid, known simply as ""The Great One.""                    


Read More..."
Family Reboot;2022;TV-PG;1 Season;;June 15, 2022;;"“Family Reboot” follows busy families on a journey to reconnect and rebuild family bonds.                                        
                      “Family Reboot” follows families that have become so busy with their individual lives, whether it’s from a busy job, going back to school, after school activities, keeping up with social media, sports or running a business, that they have lost touch with one another. In each episode, a family takes a full week away from their busy schedules to go on a journey to reconnect and rebuild their family bonds. Leaving their phones, laptops, and all other devices behind, they must find their way to their week-long accomodations the “old fashioned waywith just a paper map in hand. On arrival, they’re greeted by their “Family Reboot” guide, who welcomes them to their journey and directs them to their first activity, finding the key to their house for the week. Once the families have gotten inside and have chosen the rooms they must share, the guide talks to the parents about how the week ahead can benefit them the most, whether it’s finding ways to connect with their children, with each other or both. For the next several days, it’s more fun and games interspersed with meaningful conversations that the families typically haven’t had time to have. All organized by the guide, the week’s journey focuses on working together, communicating, and most of all having fun, reminding the family to put aside their distractions and busy schedules to come together again and make new memories. The families leave the journey completely “rebooted” – more connected, happier, and ready to take on their busy lives at home again, but with an entirely new outlook.                    


Read More..."
Life Below Zero: Next Generation;2020;TV-14;2 Seasons;;June 15, 2022;5.2/10;"The next generation of Alaskans struggle to survive without modern-day comforts.                                        
                      The next generation of Alaskans play by their own rules, rebelling against society norms and surviving Arctic climates. Michael Manzo travels nomadically in search of opportunity. Alex Javor leaves life in Virginia behind to build his dream cabin. The Rowlands instill critical lessons of survival to their children. And Brent and Ida work 24/7 on their business while navigating life as a new couple.                    


Read More..."
Love, Victor;2020;TV-14;3 Seasons;;June 15, 2022;8.0/10;"The series follows Victor as he adjusts to a new city, and struggles with his sexual orientation.                                        
                      Set in the world of the 2018 groundbreaking film LOVE, SIMON which was inspired by Becky Albertalli’s acclaimed novel, Simon vs. the Homo Sapiens Agenda, the series follows Victor, a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city and exploring his sexual orientation. When it all seems too much, he reaches out to Simon to help him navigate the ups and downs of high school.                    


Read More..."
Ready for Preschool;2019;TV-Y;3 Seasons;;June 15, 2022;;"The love of learning begins with Disney Junior!                                        
                      Disney Junior Ready for Preschool is where the love of learning begins, focusing on inspiring kids to develop a love of learning through Disney characters and magical storytelling.                    


Read More..."
Beyond Infinity: Buzz and the Journey to Lightyear;2022;TV-PG;36 min;['Documentary'];June 10, 2022;;"Explore the evolution of Buzz Lightyear from Toy Story to Lightyear.                                        
                      Explore the evolution of Buzz Lightyear from toy to human – and ubiquitous icon – through the lens of Pixar filmmakers, artists, and the studio’s biggest fans. Dive into the origin and cultural impact of everyone’s favorite Space Ranger from Toy Story, the art of designing a new “human Buzz,” and the challenges faced by the crew while working on Disney and Pixar’s biggest blockbuster, Lightyear. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
Baymax Dreams;2018;TV-Y7-FV;2 Seasons;;June 8, 2022;6.5/10;In a dream simulation, Baymax battles evil sheep, bed bugs, and... several versions of himself!!
Delicacies Destiny;2022;TV-PG;1 Season;;June 8, 2022;;"A kind and talented chef wins the appetite and enchantment of her new boss, an Imperial Prince.                                        
                      This lush series centers on palace intrigue and the demands of royal palates. A Crown Prince has rejected all candidates for the job of Imperial Chef, but young chef Ling’s succulent commoners' dish wins him over. While Ling’s savory meat dishes please most royal diners, the Emperor and the Empress are vegetarians. Ling tries to handle these restrictions but is betrayed by a seething Noble Consort. Ling is also eyed with anger by the Empress, who can see that the Emperor is enchanted with her. Refusing the Crown Prince’s plea that she learn royal protocol, Ling is faced with a choice: her career or forbidden love. Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
Ms. Marvel;2022;TV-14;1 Season;;June 8, 2022;;"Kamala Khan, a Muslim American teen, is a Super Hero mega fan who discovers she has super powers.                                        
                      Marvel Studios’ “Ms. Marvel” is an original series that introduces Kamala Khan, a Muslim American teenager growing up in Jersey City. An avid gamer and a voracious fan-fiction scribe, Kamala is a Super Hero mega fan with an oversized imagination – particularly when it comes to Captain Marvel. Yet Kamala feels like she doesn’t fit in at school and sometimes even at home – that is, until she gets super powers like the heroes she’s always looked up to. Life gets better with super powers, right? Some flashing lights sequences or patterns may affect photosensitive viewers.                    


Read More..."
The Incredible Dr. Pol;2011;TV-14;20 Seasons;;June 8, 2022;8.4/10;"Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.                                        
                      Meet Dr. Pol, an expert in large farm animals and pets. This senior is anything but retiring as he takes an old-school, no-nonsense approach to veterinary medicine. Nat Geo WILD follows The Incredible Dr. Pol as he travels across rural Michigan to care for every family pet and head of livestock in need of his expertise and kindness. Treating numerous patients, including horses, pigs, cows, sheep, alpacas, goats, cats, dogs and even an occasional reindeer, Dr. Pol is not your average vet.                    


Read More..."
Ultra Violet & Black Scorpion;2022;TV-G;1 Season;;June 8, 2022;4.7/10;"A 13-year-old girl discovers a magical luchador mask.                                        
                      Violet Rodriguez, an everyday Mexican American teen, is chosen by a magical luchador mask which transforms her into Ultra Violet, a superhero fighting crime alongside her luchador uncle, Cruz, also known as Black Scorpion. Although Cruz takes Violet under his wing to teach her the responsibilities of her special powers, she doesn't always see eye-to-eye with him when it comes to his methods for capturing crooks. In the meantime, she must keep her superhero identity secret from her family, as well as her friends and schoolmates.                    


Read More..."
Doctor Dolittle;1998;PG-13;86 min;['Comedy', 'Family', 'Fantasy'];June 3, 2022;5.6/10;"A workaholic doctor rediscovers his ability to communicate with animals.                                        
                      Successful physician and devoted family man John Dolittle seems to have the world by the tail, until a long-suppressed talent he possessed as a child - the ability to communicate with animals - is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turn his world upside down!                    


Read More..."
Hollywood Stargirl;2022;PG;106 min;['Coming of Age', 'Drama', 'Music'];June 3, 2022;;"Stargirl moves to L.A. and becomes involved with two brothers, a cranky neighbor and a musician.                                        
                      “Hollywood Stargirl” is a sequel to the 2020 Disney+ film about free spirit Stargirl Caraway, a silver-voiced teenager whose simple acts of kindness work magic in the lives of others, that follows Stargirl’s journey out of Mica, Arizona and into a bigger world of music, dreams and possibilities. When her mother Ana is hired as the costume designer on a movie, they relocate to L.A., where Stargirl quickly becomes involved with an eclectic assortment of characters. They include aspiring filmmaking brothers Evan and Terrell; Mr. Mitchell, one of Stargirl’s neighbors; and Roxanne Martel, a musician Stargirl admires and encounters on her journey.                    


Read More..."
Mack Wrestles;2019;26 min;Genres:;['Sports'];June 3, 2022; ;"Mack Beggs struggles against the outside forces that stigmatize transgender athletes.                                        
                      “Mack Wrestles,” co-directed by Taylor Hess and Erin Sanger, takes the audience behind the scenes as Mack Beggs, a gifted athlete from Euless, Texas, struggles against the outside forces that stigmatize transgender athletes. Wrestling is brutal enough. There are the demands for strength and speed and stamina, the hours bathed in sweat, the knowledge that your opponent wants to wipe the mat with you. Those were the very reasons, though, that Beggs loved the sport – it gave him a sense of purpose and a sense of self. Despite all the turmoil, this poignant film makes one thing perfectly clear: If life were a wrestling match, the referee would be raising Mack’s arm at the end.                    


Read More..."
The Sandlot;1993;PG;101 min;['Comedy', 'Coming of Age', 'Family'];June 3, 2022;7.7/10;"A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.                                        
                      During a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.                    


Read More..."
A Fan’s Guide to Ms. Marvel;2022;TV-PG;5 min;['Documentary'];June 1, 2022;;"An exclusive documentary short behind the groundbreaking original series, ""Ms. Marvel.""                                        
                      “A Fan’s Guide to Ms. Marvel” is a documentary short that gives you an exclusive look behind the groundbreaking original series, ""Ms. Marvel"", from its comic book origins to its development and production as Marvel Studios’ next hit series on Disney+. It features interviews with its award winning filmmaking team and the show’s captivating star, newcomer Iman Vellani.                    


Read More..."
Club Mickey Mouse (Malaysia);2017;TV-G;1 Season;;June 1, 2022;;"Club Mickey Mouse is a variety series with music, dance, comedy and fun for all ages.                                        
                      Based on one of the most iconic shows in the world, reimagined and given a new, modern and local spin. Made in Malaysia and recorded before a live audience, the show is hosted by 7 talented Malaysian Mouseketeers who are all triple threats, sing, dance and act! Each episode showcases song performances, fun games, comedy segments and celebrity guests.                    


Read More..."
Glee;2009;TV-14;6 Seasons;;June 1, 2022;7.0/10;"A musical comedy about a group of high schoolers who dream of stardom.                                        
                      A musical comedy about a group of ambitious and talented young adults who dream of stardom, but struggle with life in the real world.                    


Read More..."
Bad Boys;2014;102 min;Genres:;['Documentary', 'Sports'];May 27, 2022;;"Few teams in professional sports history elicit such a wide range of emotions as the Pistons.                                        
                      Few teams in professional sports history elicit such a wide range of emotions as the Detroit Pistons of the late 1980s and early '90s. Sandwiched between the Lakers' and Celtics' dominance of the 1980s and the Bulls' run in the 1990s, the Pistons' two titles in 1989 and 1990 are often viewed as a transitional period in NBA history, rather than a dynamic championship era in its own right. But for anyone who experienced the Bad Boys in action, they more than carved out their own identity, both in the league and in American popular culture.                    


Read More..."
